theta1,theta2,model,amplitude,shift
-0.100000,0.000000,param,8.4308712311,0.0837627045
-0.100000,0.000000,param,8.4716000771,0.0840080165
-0.100000,0.000000,param,8.5123289230,0.0842360128
-0.100000,0.000000,param,8.5530577690,0.0844461003
-0.100000,0.000000,param,8.5937866149,0.0846376716
-0.100000,0.000000,param,8.6345154608,0.0848101039
-0.100000,0.000000,param,8.6752443068,0.0849627591
-0.100000,0.000000,param,8.7159731527,0.0850949833
-0.100000,0.000000,param,8.7567019987,0.0852061066
-0.100000,0.000000,param,8.7974308446,0.0852954428
-0.100000,0.000000,param,8.8381596905,0.0853622886
-0.100000,0.000000,param,8.8788885365,0.0854059242
-0.100000,0.000000,param,8.9196173824,0.0854256119
-0.100000,0.000000,param,8.9603462284,0.0854205965
-0.100000,0.000000,param,9.0010750743,0.0853901047
-0.100000,0.000000,param,9.0418039202,0.0853333447
-0.100000,0.000000,param,9.0825327662,0.0852495056
-0.100000,0.000000,param,9.1232616121,0.0851377578
-0.100000,0.000000,param,9.1639904580,0.0849972517
-0.100000,0.000000,param,9.2047193040,0.0848271180
-0.100000,0.000000,param,9.2454481499,0.0846264668
-0.100000,0.000000,param,9.2861769959,0.0843943877
-0.100000,0.000000,param,9.3269058418,0.0841299490
-0.100000,0.000000,param,9.3676346877,0.0838321975
-0.100000,0.000000,param,9.4083635337,0.0835001582
-0.100000,0.000000,param,9.4490923796,0.0831328336
-0.100000,0.000000,param,9.4898212256,0.0827292032
-0.100000,0.000000,param,9.5305500715,0.0822882238
-0.100000,0.000000,param,9.5712789174,0.0818088281
-0.100000,0.000000,param,9.6120077634,0.0812899249
-0.100000,0.000000,param,9.6527366093,0.0807303985
-0.100000,0.000000,param,9.6934654553,0.0801291082
-0.100000,0.000000,param,9.7341943012,0.0794848878
0.000000,0.000000,exact,0.0000001351,0.0000000000
0.000000,0.000000,exact,0.0452346472,0.0000029779
0.000000,0.000000,exact,0.0904691593,0.0000119114
0.000000,0.000000,exact,0.1357036714,0.0000267995
0.000000,0.000000,exact,0.1809381835,0.0000476407
0.000000,0.000000,exact,0.2261726956,0.0000744329
0.000000,0.000000,exact,0.2714072077,0.0001071734
