eta,Re,rho,omega,T
-1.369376485606e-03,52.55882749,1.805848605725e+00,17.1306574844,0.3667801608
-1.381851015832e-03,52.59331011,1.815848597944e+00,17.1332208961,0.3667252845
-1.394333349915e-03,52.62785963,1.825848590153e+00,17.1357916565,0.3666702673
-1.406822438211e-03,52.66247331,1.835848582355e+00,17.1383697729,0.3666151093
-1.419317218816e-03,52.69714835,1.845848574549e+00,17.1409552568,0.3665598103
-1.431816617128e-03,52.73188193,1.855848566737e+00,17.1435481235,0.3665043702
-1.444319545369e-03,52.76667115,1.865848558921e+00,17.1461483924,0.3664487886
-1.456824902078e-03,52.80151307,1.875848551102e+00,17.1487560870,0.3663930652
-1.469331571556e-03,52.83640471,1.885848543281e+00,17.1513712349,0.3663371996
-1.481838423277e-03,52.87134299,1.895848535460e+00,17.1539938677,0.3662811912
-1.494344311244e-03,52.90632482,1.905848527640e+00,17.1566240212,0.3662250393
-1.506848073300e-03,52.94134701,1.915848519823e+00,17.1592617354,0.3661687434
-1.519348530386e-03,52.97640632,1.925848512009e+00,17.1619070542,0.3661123025
-1.531844485741e-03,53.01149944,1.935848504202e+00,17.1645600259,0.3660557158
-1.544334724040e-03,53.04662301,1.945848496402e+00,17.1672207026,0.3659989824
-1.556818010464e-03,53.08177355,1.955848488610e+00,17.1698891405,0.3659421011
-1.569293089703e-03,53.11694756,1.965848480829e+00,17.1725653999,0.3658850708
-1.581758684877e-03,53.15214142,1.975848473059e+00,17.1752495447,0.3658278903
-1.594213496378e-03,53.18735144,1.985848465303e+00,17.1779416429,0.3657705584
-1.606656200621e-03,53.22257385,1.995848457562e+00,17.1806417660,0.3657130736
-1.619085448700e-03,53.25780477,2.005848449838e+00,17.1833499891,0.3656554345
-1.631499864942e-03,53.29304024,2.015848442132e+00,17.1860663905,0.3655976396
-1.643898045346e-03,53.32827619,2.025848434446e+00,17.1887910521,0.3655396874
-1.656278555902e-03,53.36350845,2.035848426782e+00,17.1915240586,0.3654815760
-1.668639930788e-03,53.39873272,2.045848419142e+00,17.1942654974,0.3654233040
-1.680980670414e-03,53.43394462,2.055848411527e+00,17.1970154585,0.3653648694
-1.693299239326e-03,53.46913959,2.065848403940e+00,17.1997740341,0.3653062706
-1.705594063941e-03,53.50431299,2.075848396382e+00,17.2025413185,0.3652475056
-1.717863530104e-03,53.53946001,2.085848388855e+00,17.2053174072,0.3651885727
